Name,Sub Area,Ground,Club ID,Team Name,Adult male 11v11 (16-45),Adult female 11v11 (16-45),Youth male 11v11 (12-15),Youth female 11v11 (12-15),Youth male 9v9 (10-11),Youth female 9v9 (10-11),MS 7v7 (8-9),MS 5v5 (6-7),Team ID,Day Plays On,Adult male/female football sat am,Adult male/female football sat pm,Adult male/female football sun am,Adult male/female football sun pm,Adult male/female football mw,Youth male/female football 11v11 sat am,Youth male/female football 11v11 sat pm,Youth male/female football 11v11 sun am,Youth male/female football 11v11 sun pm,Youth male/female football 11v11 mw,Youth male/female football 9v9 sat am,Youth male/female football 9v9 sat pm,Youth male/female football 9v9 sun am,Youth male/female football 9v9 sun pm,Youth male/female football 9v9 mw,Minisoccer 7v7 sat am,Minisoccer 7v7 sat pm,Minisoccer 7v7 sun am,Minisoccer 7v7 sun pm,Minisoccer 7v7 mw,Minisoccer 5v5 sat am,Minisoccer 5v5 sat pm,Minisoccer 5v5 sun am,Minisoccer 5v5 sun pm,Minisoccer 5v5 mw
AFC Plympton Ladies,,,218936,1st,,1,,,,,,,11217915,Sunday,,,,1,,,,,,,,,,,,,,,,,,,,,
Edgecumbe  F.C.,,,80836,1st,1,,,,,,,,11024550,Saturday,,1,,,,,,,,,,,,,,,,,,,,,,,
Ocean City Powerchair F.C.,,,238765,First,1,,,,,,,,11698063,Saturday,,1,,,,,,,,,,,,,,,,,,,,,,,
SB Frankfort F.C.,,,80922,U15,,,1,,,,,,11635564,Saturday,,,,,,1,,,,,,,,,,,,,,,,,,,
Signal Box F.C.,,,228872,U13,,,1,,,,,,11660036,Saturday,,,,,,1,,,,,,,,,,,,,,,,,,,
Ivybridge Community College - PAFITC F.C.,,,230316,second,1,,,,,,,,11466317,Wednesday,,,,,1,,,,,,,,,,,,,,,,,,,,
Ivybridge Community College - PAFITC F.C.,,,230316,Thirds,1,,,,,,,,11467870,Wednesday,,,,,1,,,,,,,,,,,,,,,,,,,,
Plymouth Guild Disability F.C.,,,234026,First,1,,,,,,,,11464314,Tuesday,,,,,1,,,,,,,,,,,,,,,,,,,,
Ivybridge Community College - PAFITC F.C.,,,230316,First,1,,,,,,,,11466316,Wednesday,,,,,1,,,,,,,,,,,,,,,,,,,,
Ivybridge Community College - PAFITC F.C.,,,230316,Women,,1,,,,,,,11467871,Wednesday,,,,,1,,,,,,,,,,,,,,,,,,,,
HMS Raleigh F.C.,,,81190,1st,1,,,,,,,,11024985,Wednesday,,,,,1,,,,,,,,,,,,,,,,,,,,
Devon and Cornwall Police F.C.,,,80635,1st,1,,,,,,,,11022893,Saturday,,1,,,,,,,,,,,,,,,,,,,,,,,
SB Frankfort F.C.,,,80922,U14,,,1,,,,,,11651902,Saturday,,,,,,1,,,,,,,,,,,,,,,,,,,
Argyle Legends F.C.,,,222779,First,1,,,,,,,,11272293,Sunday,,,1,,,,,,,,,,,,,,,,,,,,,,
Horrabridge Rangers Juniors SA F.C.,,,115414,U11,,,,,1,,,,11633096,Saturday,,,,,,,,,,,1,,,,,,,,,,,,,,
Plymouth Parkway Youth F.C.,,,232072,U16,,,1,,,,,,11645394,Saturday,,,,,,1,,,,,,,,,,,,,,,,,,,
Plymouth Parkway Youth F.C.,,,232072,U18,1,,,,,,,,11596957,Sunday,,,,1,,,,,,,,,,,,,,,,,,,,,
Plymouth University Students Union F.C.,,Staddiscombe Playing Field,81354,1st,1,,,,,,,,11282964,Wednesday,,,,,1,,,,,,,,,,,,,,,,,,,,
University of Plymouth F.C.,,Staddiscombe Playing Field,80758,1st,1,,,,,,,,11024463,Saturday,,1,,,,,,,,,,,,,,,,,,,,,,,
University of Plymouth F.C.,,Staddiscombe Playing Field,80758,2nd,1,,,,,,,,11113040,Saturday,,1,,,,,,,,,,,,,,,,,,,,,,,
Plymouth Trophyman Youth F.C.,Devonport,Devonport Park,80478,U14,,,1,,,,,,11659292,Sunday,,,,,,,,,,,,,,,,,,,,,,,,,
Friary Mill Youth F.C.,Efford,Higher Efford,207704,U18,1,,,,,,,,11644449,Sunday,,,,1,,,,,,,,,,,,,,,,,,,,,
Maritime Social Club F.C.,Stonehouse,Victoria Park,235473,1st,1,,,,,,,,11471792,Sunday,,,1,,,,,,,,,,,,,,,,,,,,,,
AFC Plympton Youth,Woodford,Heles School,80475,U9,,,,,,,1,,11616560,Saturday,,,,,,,,,,,,,,,,1,,,,,,,,,
AFC Plympton Youth,Woodford,Heles School,80475,U16,,,1,,,,,,11657712,Saturday,,,,,,1,,,,,,,,,,,,,,,,,,,
Kitto All Saints Youth F.C.,Honicknowle,Knowle Battery,81075,U15,,,1,,,,,,11656093,Saturday,,,,,,1,,,,,,,,,,,,,,,,,,,
Kitto All Saints Youth F.C.,Honicknowle,Knowle Battery,81075,U9,,,,,,,1,,11668006,Saturday,,,,,,,,,,,,,,,,1,,,,,,,,,
Tamerton Foliot Youth F.C.,Southway,Becton Dickinson,80604,U16,,,1,,,,,,11639706,Saturday,,,,,,1,,,,,,,,,,,,,,,,,,,
Keyham Kolts Youth F.C.,Keyham,Northdown Playing Field,127427,U8,,,,,,,,1,11615196,Saturday,,,,,,,,,,,,,,,,,,,,,1,,,,
Plymouth Rangers F.C.,East End,Tothill (Enclosure),80617,1st,1,,,,,,,,11022856,Saturday,,1,,,,,,,,,,,,,,,,,,,,,,,
AFC Plympton Youth,Woodford,Heles School,80475,U15,,,1,,,,,,11649803,Saturday,,,,,,1,,,,,,,,,,,,,,,,,,,
Plymouth Trophyman Youth F.C.,Devonport,Brickfields,80478,U11,,,,,1,,,,11658372,Saturday,,,,,,,,,,,1,,,,,,,,,,,,,,
Melbourne Inn F.C.,Devonport,Brickfields,228430,1st,1,,,,,,,,11373387,Sunday,,,1,,,,,,,,,,,,,,,,,,,,,,
Plympton Youth F.C,Ham & Pennycross,Treveneague Gardens,,,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29 Commando F.C.,City Centre,Milbay Park,82087,1st,1,,,,,,,,11381677,Wednesday,,,,,1,,,,,,,,,,,,,,,,,,,,
Keyham Kolts Seniors F.C.,Honicknowle,Chaucer Way,230506,First,1,,,,,,,,11401133,Sunday,,,1,,,,,,,,,,,,,,,,,,,,,,
Team Carpy F.C.,Plymstock & Radford,Plymstock Community College,235393,1st,1,,,,,,,,11469251,Sunday,,,1,,,,,,,,,,,,,,,,,,,,,,
The Revenue F.C.,Whitleigh,Aylesbury Crescent,236765,1st,1,,,,,,,,11516525,Sunday,,,1,,,,,,,,,,,,,,,,,,,,,,
The Navy Inn Reserves F.C.,,Staddiscombe Playing Field,228352,1st,1,,,,,,,,11370469,Sunday,,,1,,,,,,,,,,,,,,,,,,,,,,
Railway Beacon Youth F.C.,Devonport,Devonport Park,80632,U13,,,1,,,,,,11663493,Saturday,,,,,,1,,,,,,,,,,,,,,,,,,,
Nova Homes F.C.,Stonehouse,Victoria Park,232069,1st,1,,,,,,,,11440632,Saturday,,1,,,,,,,,,,,,,,,,,,,,,,,
Friary Mill Youth F.C.,Efford,Higher Efford,207704,U15 Juniors,,,1,,,,,,11648023,Saturday,,,,,,1,,,,,,,,,,,,,,,,,,,
Plymouth Argyle Youth F.C.,Elburton & Dunstone,Elburton Villa,146636,U11,,,,,1,,,,11646480,Sunday,,,,,,,,,,,,,,,,,,,,,,,,,
Keyham Vaults F.C.,Stonehouse,Victoria Park,227875,1st,1,,,,,,,,11360856,Sunday,,,1,,,,,,,,,,,,,,,,,,,,,,
Elburton Villa Junior F.C.,Elburton & Dunstone,Elburton Villa,80498,U8,,,,,,,,1,11586227,Saturday,,,,,,,,,,,,,,,,,,,,,1,,,,
Friary Vaults F.C.,Stonehouse,Victoria Park,224513,1st,1,,,,,,,,11305660,Sunday,,,1,,,,,,,,,,,,,,,,,,,,,,
Plymouth Kolts Junior F.C.,East End,Tothill Park,80545,U11,,,,,1,,,,11698183,Saturday,,,,,,,,,,,1,,,,,,,,,,,,,,
AFC Plympton Youth,Woodford,Heles School,80475,U7,,,,,,,,1,11629174,Saturday,,,,,,,,,,,,,,,,,,,,,1,,,,
Efford United Bluebird  F.C.,City Centre,Milbay Park,115305,1st,1,,,,,,,,11109513,Saturday,,1,,,,,,,,,,,,,,,,,,,,,,,
Elburton Villa F.C.,Elburton & Dunstone,Elburton Villa,80653,2nd,1,,,,,,,,11109463,Saturday,,1,,,,,,,,,,,,,,,,,,,,,,,
Keyham Kolts Youth F.C.,Devonport,Devonport Park,127427,U18,1,,,,,,,,11584774,Saturday,,,,1,,,,,,,,,,,,,,,,,,,,,
