date,min_level,avg_level,max_level
2022-05-22,0.000,0.001,0.002
2022-05-23,0.007,0.007,0.007
2022-05-24,-0.019,0.005,0.017
2022-05-25,0.006,0.008,0.012
2022-05-26,0.005,0.007,0.009
2022-05-27,0.004,0.007,0.008
2022-05-28,0.005,0.007,0.010
2022-05-29,0.008,0.009,0.011
2022-05-30,0.007,0.014,0.040
2022-05-31,0.007,0.010,0.013
2022-06-01,0.006,0.008,0.010
2022-06-02,0.007,0.008,0.010
2022-06-03,0.007,0.009,0.011
2022-06-04,0.009,0.015,0.039
2022-06-05,0.011,0.012,0.013
2022-06-06,0.010,0.012,0.014
2022-06-07,0.010,0.012,0.014
2022-06-08,0.010,0.013,0.015
2022-06-09,0.011,0.012,0.013
2022-06-10,0.010,0.011,0.013
2022-06-11,0.009,0.011,0.013
2022-06-12,0.010,0.012,0.014
2022-06-13,0.011,0.013,0.016
2022-06-14,0.013,0.015,0.017
2022-06-15,0.014,0.016,0.018
2022-06-16,0.014,0.017,0.020
2022-06-17,0.016,0.017,0.020
2022-06-18,0.010,0.021,0.042
2022-06-19,-0.010,0.003,0.028
2022-06-20,-0.008,0.001,0.011
2022-06-21,-0.003,0.001,0.006
2022-06-22,-0.004,0.001,0.006
2022-06-23,-0.001,0.002,0.005
2022-06-24,-0.004,0.002,0.016
2022-06-25,-0.008,0.002,0.017
2022-06-26,-0.002,0.006,0.038
2022-06-27,-0.001,0.002,0.004
2022-06-28,0.001,0.004,0.033
2022-06-29,-0.004,0.006,0.021
2022-06-30,-0.007,0.010,0.068
2022-07-01,0.002,0.007,0.013
2022-07-02,-0.022,0.003,0.029
2022-07-03,-0.012,0.000,0.014
2022-07-04,-0.009,-0.003,0.002
2022-07-05,-0.001,0.006,0.012
2022-07-06,-0.003,0.006,0.010
2022-07-07,0.003,0.006,0.009
2022-07-08,-0.012,0.003,0.008
2022-07-09,-0.010,0.000,0.007
2022-07-10,0.002,0.005,0.009
2022-07-11,-4.165,-0.146,0.219
2022-07-12,0.218,0.231,0.244
2022-07-13,0.162,0.219,0.245
2022-07-14,0.156,0.227,0.252
2022-07-15,0.227,0.231,0.237
2022-07-16,0.172,0.231,0.241
2022-07-17,0.224,0.234,0.243
2022-07-18,0.209,0.228,0.248
2022-07-19,0.225,0.231,0.238
2022-07-20,0.230,0.236,0.241
2022-07-21,0.158,0.233,0.249
2022-07-22,0.115,0.203,0.250
2022-07-23,0.148,0.231,0.249
2022-07-24,0.091,0.232,0.246
2022-07-25,0.108,0.204,0.253
2022-07-26,0.153,0.199,0.222
2022-07-27,0.161,0.194,0.218
2022-07-28,0.173,0.197,0.203
2022-07-29,0.169,0.199,0.246
2022-07-30,0.172,0.197,0.227
2022-07-31,0.193,0.202,0.208
2022-08-01,0.188,0.200,0.207
2022-08-02,0.189,0.203,0.233
2022-08-03,0.165,0.219,0.243
2022-08-04,0.198,0.202,0.205
2022-08-05,0.181,0.200,0.207
2022-08-06,0.156,0.202,0.243
2022-08-07,0.170,0.203,0.252
2022-08-08,0.168,0.193,0.208
2022-08-09,0.157,0.194,0.250
2022-08-10,0.158,0.203,0.250
2022-08-11,0.160,0.220,0.252
2022-08-12,0.177,0.197,0.208
2022-08-13,0.086,0.189,0.245
2022-08-14,0.187,0.206,0.213
2022-08-15,0.197,0.213,0.299
2022-08-16,0.205,0.217,0.252
2022-08-17,0.212,0.220,0.231
2022-08-18,0.224,0.231,0.233
2022-08-19,0.227,0.230,0.233
2022-08-20,0.228,0.231,0.234
2022-08-21,0.229,0.231,0.233
2022-08-22,0.230,0.232,0.234
2022-08-23,0.232,0.232,0.232
2022-08-24,0.229,0.231,0.231
2022-08-25,0.230,0.231,0.232
2022-08-26,0.234,0.234,0.235
2022-08-27,0.231,0.233,0.235
2022-08-28,0.236,0.236,0.236
2022-08-29,0.237,0.237,0.237
2022-08-30,0.238,0.238,0.239
2022-08-31,0.241,0.243,0.244
2022-09-01,0.232,0.232,0.232
2022-09-02,0.215,0.224,0.235
2022-09-03,0.217,0.218,0.218
2022-09-04,0.238,0.248,0.253
2022-09-05,0.224,0.226,0.227
2022-09-06,0.219,0.220,0.223
2022-09-07,0.213,0.220,0.225
2022-09-08,0.213,0.213,0.213
2022-09-09,0.203,0.209,0.217
2022-09-10,0.198,0.216,0.221
2022-09-11,0.221,0.221,0.221
2022-09-12,0.226,0.226,0.226
2022-09-13,-1.683,-0.086,0.236
2022-09-14,0.247,0.248,0.249
2022-09-15,0.198,0.210,0.218
2022-09-16,0.219,0.242,0.251
2022-09-17,0.240,0.242,0.243
2022-09-18,0.252,0.253,0.255
2022-09-19,0.208,0.233,0.250
2022-09-20,0.216,0.234,0.252
2022-09-21,0.224,0.235,0.246
2022-09-22,0.206,0.230,0.241
2022-09-23,0.237,0.238,0.239
2022-09-24,0.237,0.241,0.246
2022-09-25,0.243,0.244,0.244
2022-09-26,0.217,0.232,0.251
2022-09-27,0.188,0.224,0.233
2022-09-28,0.188,0.217,0.231
